,start_date,end_date,return_strat,max_drawdown,ret_strat_ann,profit_factor,volatility_strat_ann,sharpe_ratio,return_bh,cagr,periods,atr_factors,ticker
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,2.4382796362638475,-2.8425066445775027,1.2618671279579274,1.055729364497897,3.156077285182727,0.3998213649210017,-0.0984974337468648,1.2704087716561174,10,1.5,SGD=X
0,2023-01-02 02:00:00+00:00,2024-11-29 18:00:00+00:00,5.902988498687744,-1.6941640609579478,2.932789101974831,1.1693936768050013,2.6324525191920847,1.1140900284404451,5.003841412976232,3.0511140718555207,13,1.1,CNY=X
0,2023-01-02 06:00:00+00:00,2024-11-29 18:00:00+00:00,11.415299476623536,-21.324162878408703,5.599094773196844,1.124919820469101,14.679900974387737,0.3814122985547162,47.099444413592,5.827996359587817,28,2.0,RUB=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,2.3653170831799506,-5.912325686444786,1.185208136032001,1.0334538784028011,4.9307872970793785,0.2403689440698502,-4.692510446785076,1.232603584642633,19,1.5,CHF=X
0,2023-01-02 01:00:00+00:00,2024-11-29 22:00:00+00:00,23.013654613494875,-8.417788543638283,11.00344921780001,1.25134092038359,10.7876034547279,1.0200086853375678,4.667674374308057,11.464963860827185,26,2.0,MXN=X
0,2023-01-02 05:00:00+00:00,2024-11-29 22:00:00+00:00,-13.00643653523922,-15.351482000289796,-6.781629078580842,0.9140245341517724,6.296689352550999,0.0,-6.3959739256549675,-7.041449885046546,10,1.1,NZDUSD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,20.88125811767578,-4.513438147448612,10.029444814381172,1.213146000870876,7.42539976606573,1.3506942562494744,14.382402135295614,10.448214784214848,11,1.5,JPY=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,0.3726742658615112,-0.4799972593983348,0.1999479492643008,1.0827513017102608,0.4862278904188041,0.4112227068917808,-0.2844708848873292,0.1951201886001952,18,2.0,HKD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 20:00:00+00:00,-10.12629833984375,-11.290179376691825,-5.2387359522683585,0.9212081993519068,5.759207736888103,0.0,10.604952419086503,-5.441182108093912,10,1.1,KRW=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,1.5494335960149763,-5.729716663784634,0.7779367573321094,1.0235810851437095,4.915322200071824,0.1582677036554678,-1.1956404008636912,0.8089807189844089,13,1.5,EURUSD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,3.641087865114212,-3.231183063872589,1.818831651938524,1.0589341739683833,3.7300240851653337,0.4876192781628926,3.5352196229595045,1.8918010177912723,15,1.5,CAD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-7.650772287726403,-10.786674633645552,-3.846328343921612,0.9488449348361352,6.216982625940267,0.0,-4.410137235153996,-4.08513025841728,10,1.1,AUDUSD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,2.821615602850914,-4.865663786941187,1.4122806085548278,1.0388034220496625,5.239666625989028,0.2695363482764037,5.342134523177854,1.468822205645104,21,1.5,GBPUSD=X
0,2023-01-02 02:00:00+00:00,2024-11-29 22:00:00+00:00,16.312398654937745,-8.000348903573574,7.913433326658592,1.1042269000944562,10.403667571922137,0.7606388104917641,6.3405556562579095,8.240577756407784,15,1.5,ZAR=X
0,2023-01-02 02:00:00+00:00,2024-11-29 18:00:00+00:00,0.9052052993774417,-1.8805782229352253,0.4552038878042008,1.062217980040218,1.818500305557298,0.2503182905238495,2.252801182663652,0.4733387945308198,20,2.0,INR=X
