start_date,end_date,return_strat,max_drawdown,ret_strat_ann,profit_factor,volatility_strat_ann,is_sharpe_ratio,oos_sharpe_ratio,return_bh,WFE,period,atr_factor
2023-07-02 23:00:00+00:00,2023-12-29 23:00:00+00:00,-36.55375166523688,-36.571061369063784,-54.157600950823756,0.41306154709012893,3.8940066825545334,2.291821382058311,0.0,-2.8851533067587978,0.0,16,1.3000000000000003
2024-01-01 00:00:00+00:00,2024-06-30 23:00:00+00:00,-14.584696917965308,-15.851498480842984,-23.092296272653645,0.5542270060616167,5.363279618937694,1.3218125099626261,0.0,-1.2673474289050402,0.0,11,1.8000000000000007
2024-07-01 00:00:00+00:00,2024-11-29 22:00:00+00:00,-6.755171854154075,-9.535331031877714,-13.054020240517294,0.4772810337862367,6.795175572938845,0.9545203747185709,0.0,0.08917059514849002,0.0,47,2.4000000000000012
