,start_date,end_date,return_strat,max_drawdown,ret_strat_ann,profit_factor,volatility_strat_ann,sharpe_ratio,return_bh,cagr,periods,atr_factors,ticker
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-90.4964305963242,-90.50213213691352,-69.46099223918904,0.0562419361804399,1.6788578853779874,0.0,3.5352196229595045,-70.86732288102473,20,1.1,CAD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-89.04602048319998,-89.0606283331941,-67.19468215296477,0.1004471060882436,1.8023792692277016,0.0,-1.1956404008636912,-68.6162111188449,20,1.1,EURUSD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-89.40100094907608,-89.41664934038546,-67.73486503900143,0.173441940078753,1.9234865564261776,0.0,-4.410137235153996,-69.15334922364353,20,1.1,AUDUSD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-88.53261111866931,-88.53320041644075,-66.4285477615816,0.0,2.3231375539317938,0.0,-0.2844708848873292,-67.8537933424019,20,1.1,HKD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 20:00:00+00:00,-88.02297948900457,-88.02297948900457,-65.68470064961528,0.1636034454239208,1.8623236666827785,0.0,10.604952419086503,-67.11289258243133,20,1.1,KRW=X
0,2023-01-02 02:00:00+00:00,2024-11-29 22:00:00+00:00,-87.04617948863711,-87.0471776842853,-64.3016182824188,0.3551734011974756,2.407809161538583,0.0,6.3405556562579095,-65.7336007697416,20,1.1,ZAR=X
0,2023-01-02 02:00:00+00:00,2024-11-29 18:00:00+00:00,-83.63958530255753,-83.63958530255753,-59.84382565467252,0.0176550268450282,1.9308645690568789,0.0,2.252801182663652,-61.27393218687752,20,1.1,INR=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-89.4293550188365,-89.4293550188365,-67.77839647469482,0.11291794840286,1.6851871534147405,0.0,5.342134523177854,-69.19661981017484,20,1.1,GBPUSD=X
0,2023-01-02 02:00:00+00:00,2024-11-29 18:00:00+00:00,-86.30091189685328,-86.30091189685328,-63.28085196846225,0.0330408156408297,2.113098317403685,0.0,5.003841412976232,-64.71426405207552,20,1.1,CNY=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-89.81167472516853,-89.81167472516852,-68.37112009977264,0.0310233357456461,1.756499645384541,0.0,-0.0984974337468648,-69.7855592527647,20,1.1,SGD=X
0,2023-01-02 01:00:00+00:00,2024-11-29 22:00:00+00:00,-83.54023570464206,-83.54129943678926,-59.72110939453395,0.3957722325158139,2.8399873427334907,0.0,4.667674374308057,-61.1508751537581,20,1.1,MXN=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-92.02391448738572,-92.02613450213816,-72.0422601161688,0.1533452029724359,1.844580782295185,0.0,14.382402135295614,-73.42316915561348,20,1.1,JPY=X
0,2023-01-02 05:00:00+00:00,2024-11-29 22:00:00+00:00,-89.70844440160471,-89.74304709001707,-68.2100066992474,0.1780601847422357,1.9793165278055729,0.0,-6.3959739256549675,-69.62551753233315,20,1.1,NZDUSD=X
0,2023-01-02 06:00:00+00:00,2024-11-29 18:00:00+00:00,-85.52127973301769,-86.21501371943694,-62.24208456491347,0.5472467758825008,5.417115184718874,0.0,47.099444413592,-63.67579463003312,20,1.1,RUB=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-88.8662265781755,-88.93446674620905,-66.87037841587362,0.1210743008262784,1.797238936583408,0.0,-4.692510446785076,-68.34731797732299,20,1.1,CHF=X
