,start_date,end_date,return_strat,max_drawdown,ret_strat_ann,profit_factor,volatility_strat_ann,sharpe_ratio,return_bh,cagr,period,atr_factor,ticker
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,3.501511239647865,-3.0200516719752657,1.7496987957418495,1.0602748387202678,2.7012399494517094,0.6477391229524052,-0.0984974337468648,1.8198699216841472,40,1.5,SGD=X
0,2023-01-02 02:00:00+00:00,2024-11-29 18:00:00+00:00,-2.967939178466797,-5.724914767658607,-1.5070175030558852,0.9321112434846398,2.7182342438519775,0.0,5.003841412976232,-1.5664426193078618,10,1.0,CNY=X
0,2023-01-02 06:00:00+00:00,2024-11-29 18:00:00+00:00,88.2237367324829,-8.589012045348499,37.54217670523119,1.9207885843033952,16.063817971694824,2.337064374819374,47.099444413592,39.29580922689367,10,1.0,RUB=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,0.706141227722168,-4.602449541433917,0.3552741094073663,1.040624069391384,2.6510981383745467,0.1340101689427437,-4.692510446785076,0.369420588429481,10,2.0,CHF=X
0,2023-01-02 01:00:00+00:00,2024-11-29 22:00:00+00:00,9.665347551345825,-4.381299801772631,4.759878808877627,1.2585460636182138,4.505687643874252,1.0564156206764497,4.667674374308057,4.953672649111107,30,2.5,MXN=X
0,2023-01-02 05:00:00+00:00,2024-11-29 22:00:00+00:00,10.956670279562474,-4.475680485805622,5.2992138641616116,1.0868989720781106,5.708954720416237,0.928228392705705,-6.3959739256549675,5.599488578615697,10,1.0,NZDUSD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-1.3698176727294922,-12.114407571212183,-0.686249030154662,0.9894702241137764,5.614308284110834,0.0,14.382402135295614,-0.7201836851980059,10,1.0,JPY=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,0.6995725259780884,-0.485171004438456,0.3519749648066561,1.08666263674079,0.4463622754149234,0.788541021929938,-0.2844708848873292,0.3659898374754888,30,1.5,HKD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 20:00:00+00:00,15.586280395507812,-4.719006506031819,7.573368781969969,1.1586043358328268,5.854461140710599,1.2936064652144454,10.604952419086503,7.885947626877354,40,1.5,KRW=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,3.82356643140316,-3.0313808808277054,1.9091443951664957,1.073381440823593,3.0399164907718,0.6280252766686316,-1.1956404008636912,1.9857722078063136,20,2.0,EURUSD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,1.4250059810876845,-3.988475060083463,0.7156827516672015,1.025804438248418,2.9488683906359676,0.2426974204545133,3.5352196229595045,0.7442332733936796,20,1.0,CAD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,9.411448711514472,-4.796768299295673,4.637567560810418,1.0551179598127487,6.500670111726388,0.7133983852595185,-4.410137235153996,4.8262678226786315,40,1.0,AUDUSD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,10.420501520514488,-3.09803521163704,5.122833041037089,1.084416537328831,4.612231951533286,1.110705856702211,5.342134523177854,5.331776669735011,30,1.0,GBPUSD=X
0,2023-01-02 02:00:00+00:00,2024-11-29 22:00:00+00:00,2.8614250049591066,-2.4300905010593787,1.4320676390583875,1.246930444080809,2.527851186598636,0.5665158007126653,6.3405556562579095,1.4894072253541557,10,2.0,ZAR=X
0,2023-01-02 02:00:00+00:00,2024-11-29 18:00:00+00:00,5.124508293151855,-1.7714748021821711,2.55074143502394,1.1703317118842027,1.7461628592460985,1.460769493244872,2.252801182663652,2.653454592256055,30,1.0,INR=X
