,start_date,end_date,return_strat,max_drawdown,ret_strat_ann,profit_factor,volatility_strat_ann,sharpe_ratio,return_bh,cagr,fast_period,slow_period,signal_period,ticker
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-47.48492006634726,-47.937486806908545,-27.71916656494282,0.3243578966022667,3.185082379294369,0.0,3.5352196229595045,-28.64572410582355,12,16,6,CAD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-42.050650595084264,-42.885373190393274,-24.04148309529487,0.4087010686670508,3.9635880595193815,0.0,-1.1956404008636912,-24.86713174014692,12,16,6,EURUSD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-50.74161549008752,-51.63828694431582,-30.014188466199197,0.447471144581297,4.83415873927703,0.0,-4.410137235153996,-30.999871474184904,12,16,6,AUDUSD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-51.60059806365845,-51.60557405294766,-30.631970554483622,0.002045656911698,1.176923029100818,0.0,-0.2844708848873292,-31.633049321923263,12,16,6,HKD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 20:00:00+00:00,-45.62838200939456,-45.62838200939456,-26.44238871388672,0.4520320271153767,4.932124592419196,0.0,10.604952419086503,-27.334760388832347,12,16,6,KRW=X
0,2023-01-02 02:00:00+00:00,2024-11-29 22:00:00+00:00,-52.23528031753766,-52.7437526689181,-31.091936444878023,0.5687739956995207,6.994590061044592,0.0,6.3405556562579095,-32.10433260606522,12,16,6,ZAR=X
0,2023-01-02 02:00:00+00:00,2024-11-29 18:00:00+00:00,-45.71095217396089,-45.72956974293062,-26.498710018221907,0.1204102816006857,2.0590973465301152,0.0,2.252801182663652,-27.392608888085267,12,16,6,INR=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-46.757630431022214,-48.00158309213908,-27.216369061755195,0.4056152319103759,4.104761529445355,0.0,5.342134523177854,-28.12957310668196,12,16,6,GBPUSD=X
0,2023-01-02 02:00:00+00:00,2024-11-29 18:00:00+00:00,-27.385277279359286,-28.202571757290897,-14.894732638166133,0.3301250678677264,2.6865682162852367,0.0,5.003841412976232,-15.43852543932499,12,16,6,CNY=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-46.12097516088279,-46.12237854159272,-26.7790191470578,0.2788153435277903,2.8163862785533813,0.0,-0.0984974337468648,-27.680492582397964,12,16,6,SGD=X
0,2023-01-02 01:00:00+00:00,2024-11-29 22:00:00+00:00,-46.998939922364315,-47.275734551556695,-27.38281387378031,0.5707428272078302,6.786932600429421,0.0,4.667674374308057,-28.30045416638578,12,16,6,MXN=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-34.204344487528445,-37.42570317012668,-19.021188604325268,0.6280086975692166,6.241271062214114,0.0,14.382402135295614,-19.697400555392385,12,16,6,JPY=X
0,2023-01-02 05:00:00+00:00,2024-11-29 22:00:00+00:00,-49.43512182742392,-50.69821044601483,-29.084710777569136,0.4869157701931976,5.183374531630781,0.0,-6.3959739256549675,-30.046812228177178,12,16,6,NZDUSD=X
0,2023-01-02 06:00:00+00:00,2024-11-29 18:00:00+00:00,-82.70397083991683,-83.58355199212329,-58.70238321009691,0.402725614372996,7.078729322181075,0.0,47.099444413592,-60.12874876346908,12,16,6,RUB=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-46.783178245948946,-47.56774062187794,-27.134178030851963,0.4251322944676344,4.245820642521354,0.0,-4.692510446785076,-28.147647080946737,12,16,6,CHF=X
